# 3.14 FMA Instructions
# Table 31  FMA Instructions
# Intel/AMD Mnemonic			Description
VFMSUB231SS			Fused Multiply-Subtract of Scalar Single-Precision Floating-Point			
VFMSUB132SS         Fused Multiply-Subtract of Scalar Single-Precision Floating-Point
VFMSUB213SS         Fused Multiply-Subtract of Scalar Single-Precision Floating-Point
VFMSUB231SS			Fused Multiply-Subtract of Scalar Single-Precision Floating-Point			
VFMSUB132SS         Fused Multiply-Subtract of Scalar Single-Precision Floating-Point
VFMSUB213SS         Fused Multiply-Subtract of Scalar Single-Precision Floating-Point
VFMSUB231SS			Fused Multiply-Subtract of Scalar Single-Precision Floating-Point			
VFMSUBADD132PD      Fused Multiply-Alternating Subtract/Add of Packed
VFMSUBADD213PD      Fused Multiply-Alternating Subtract/Add of Packed
VFMSUBADD231PD		Fused Multiply-Alternating Subtract/Add of Packed			
VFMSUBADD132PD      Fused Multiply-Alternating Subtract/Add of Packed
VFMSUBADD213PD      Fused Multiply-Alternating Subtract/Add of Packed
VFMSUBADD231PD		Fused Multiply-Alternating Subtract/Add of Packed			
VFMSUBADD132PD      Fused Multiply-Alternating Subtract/Add of Packed
VFMSUBADD213PD      Fused Multiply-Alternating Subtract/Add of Packed
VFMSUBADD231PD		Fused Multiply-Alternating Subtract/Add of Packed			
VFMSUBADD132PS      Fused Multiply-Alternating Subtract/Add of Packed
VFMSUBADD213PS      Fused Multiply-Alternating Subtract/Add of Packed
VFMSUBADD231PS		Fused Multiply-Alternating Subtract/Add of Packed			
VFMSUBADD132PS      Fused Multiply-Alternating Subtract/Add of Packed
VFMSUBADD213PS      Fused Multiply-Alternating Subtract/Add of Packed
VFMSUBADD231PS		Fused Multiply-Alternating Subtract/Add of Packed			
VFMSUBADD132PS      Fused Multiply-Alternating Subtract/Add of Packed
VFMSUBADD213PS      Fused Multiply-Alternating Subtract/Add of Packed
VFMSUBADD231PS		Fused Multiply-Alternating Subtract/Add of Packed			
VFNMADD132PD        Fused Negative Multiply-Add of Packed Double-Precision
VFNMADD213PD		Fused Negative Multiply-Add of Packed Double-Precision
