media-video/vlc: 491 files, 62 non-files, 14.5M 
net-p2p/transmission: 59 files, 26 non-files, 14.4M 
dev-libs/gobject-introspection: 271 files (240 unique), 25 non-files, 13.9M 
sys-fs/udisks: 180 files, 43 non-files, 13.8M 
gui-libs/libadwaita: 1313 files, 15 non-files, 13.5M 
dev-python/fonttools: 1157 files, 65 non-files, 13.3M 
app-containers/runc: 27 files, 9 non-files, 13.2M 
dev-util/glslang: 88 files, 16 non-files, 12.8M 
dev-lang/vala: 358 files, 19 non-files, 12.6M 
app-text/poppler-data: 509 files, 15 non-files, 12.3M 
media-video/obs-studio: 1238 files, 87 non-files, 12.3M 
media-fonts/fira-sans: 69 files, 6 non-files, 12.0M 
dev-python/cython: 666 files, 47 non-files, 11.9M 
dev-python/pygments: 1208 files, 23 non-files, 11.6M 
media-libs/gst-plugins-base: 307 files, 35 non-files, 11.6M 
sys-devel/gdb: 144 files (118 unique), 27 non-files, 11.5M 
sys-apps/groff: 601 files, 51 non-files, 11.2M 
dev-perl/Date-Manip: 868 files, 20 non-files, 11.1M 
dev-cpp/gtkmm: 567 files, 19 non-files, 11.0M 
dev-libs/openssl: 8581 files (8580 unique), 28 non-files, 10.9M 
media-gfx/graphicsmagick: 306 files, 26 non-files, 10.7M 
dev-libs/nss: 171 files, 10 non-files, 10.6M 
media-libs/gegl: 140 files, 18 non-files, 10.6M 
media-libs/libmediainfo: 236 files, 19 non-files, 10.6M 
dev-lang/tcl: 1104 files, 25 non-files, 10.4M 
dev-qt/qtwidgets: 499 files, 21 non-files, 10.4M 
media-sound/qmmp: 135 files, 47 non-files, 10.4M 
dev-python/docutils: 855 files, 91 non-files, 10.3M 
app-emulation/virtualbox-extpack-oracle: 16 files, 6 non-files, 10.1M 
dev-libs/protobuf: 148 files, 25 non-files, 10.1M 
dev-util/meson: 876 files, 60 non-files, 10.1M 
dev-util/android-tools: 29 files, 14 non-files, 9.9M 
media-fonts/dejavu: 37 files, 9 non-files, 9.9M 
dev-cpp/gtkmm: 629 files, 16 non-files, 9.8M 
media-libs/gstreamer: 180 files, 31 non-files, 9.7M 
sys-apps/file: 359 files, 19 non-files, 9.6M 
sys-apps/lshw: 49 files, 13 non-files, 9.4M 
net-ftp/filezilla: 698 files, 68 non-files, 9.3M 
dev-python/pydevd: 636 files, 43 non-files, 9.0M 
mate-extra/mate-system-monitor: 1652 files, 345 non-files, 9.0M 
dev-qt/qtquickcontrols2: 591 files, 33 non-files, 8.8M 
media-libs/gst-plugins-bad: 234 files, 32 non-files, 8.8M 
sys-fs/eudev: 71 files, 21 non-files, 8.8M 
sys-apps/hwdata: 8 files, 8 non-files, 8.6M 
app-text/poppler: 201 files, 19 non-files, 8.5M 
dev-python/pyqtgraph: 1504 files, 80 non-files, 8.5M 
sys-apps/util-linux: 426 files (424 unique), 31 non-files, 8.4M 
dev-cpp/eigen: 536 files, 89 non-files, 8.3M 
sys-fs/tmsu: 8 files, 10 non-files, 8.3M 
x11-base/xorg-server: 189 files, 24 non-files, 8.1M 
app-shells/zsh: 1445 files (1444 unique), 55 non-files, 7.9M 
media-gfx/nomacs: 42 files, 18 non-files, 7.9M 
dev-python/pycryptodome: 881 files, 48 non-files, 7.8M 
dev-python/pydantic: 136 files, 10 non-files, 7.7M 
app-misc/broot: 8 files, 11 non-files, 7.6M 
dev-util/geany: 226 files, 50 non-files, 7.6M 
x11-themes/fedora-backgrounds: 150 files, 26 non-files, 7.5M 
dev-libs/botan: 319 files, 6 non-files, 7.4M 
dev-python/ipython: 1085 files, 54 non-files, 7.3M 
dev-util/pwndbg: 725 files (470 unique), 36 non-files, 7.2M 
sci-libs/fftw: 65 files, 13 non-files, 7.2M 
x11-libs/qscintilla: 78 files, 16 non-files, 7.2M 
sci-libs/lapack: 24 files, 10 non-files, 7.1M 
dev-util/spirv-tools: 43 files, 16 non-files, 7.0M 
media-fonts/roboto: 24 files, 7 non-files, 7.0M 
dev-tcltk/blt: 249 files, 20 non-files, 6.9M 
sys-apps/coreutils: 239 files, 12 non-files, 6.9M 
sys-libs/ncurses: 3974 files, 71 non-files, 6.9M 
sys-fs/lvm2: 188 files, 25 non-files, 6.8M 
dev-vcs/subversion: 142 files, 19 non-files, 6.7M 
dev-cpp/glibmm: 444 files, 21 non-files, 6.6M 
dev-cpp/tclap: 735 files, 10 non-files, 6.6M 
net-misc/openssh: 49 files, 23 non-files, 6.6M 
sys-devel/gettext: 234 files, 30 non-files, 6.5M 
app-editors/gedit: 1621 files (1557 unique), 155 non-files, 6.4M 
dev-libs/glib: 343 files, 35 non-files, 6.4M 
dev-qt/qtxmlpatterns: 419 files, 16 non-files, 6.4M 
dev-util/shellcheck-bin: 2 files, 5 non-files, 6.4M 
media-video/mpv: 53 files, 37 non-files, 6.4M 
media-video/rav1e: 6 files, 6 non-files, 6.4M 
dev-python/jedi: 2132 files, 271 non-files, 6.3M 
net-im/pidgin: 801 files, 87 non-files, 6.3M 
dev-cpp/glibmm: 453 files, 21 non-files, 6.2M 
media-fonts/font-misc-misc: 101 files, 6 non-files, 6.2M 
sys-apps/texinfo: 404 files, 31 non-files, 6.2M 
sys-firmware/edk2-ovmf-bin: 9 files, 7 non-files, 6.2M 
dev-python/pythran: 2272 files, 181 non-files, 6.1M 
dev-libs/libxml2: 178 files (176 unique), 26 non-files, 6.0M 
sys-apps/miscfiles: 32 files, 6 non-files, 6.0M 
app-crypt/gnupg: 120 files, 20 non-files, 5.9M 
media-libs/flac: 277 files, 16 non-files, 5.9M 
sys-devel/lld: 35 files, 14 non-files, 5.9M 
app-backup/borgbackup: 358 files, 31 non-files, 5.8M 
app-cdr/brasero: 788 files, 157 non-files, 5.8M 
media-libs/libaom: 15 files, 8 non-files, 5.8M 
dev-lang/tk: 600 files, 21 non-files, 5.6M 
media-libs/gst-plugins-good: 54 files, 8 non-files, 5.6M 
net-misc/freerdp: 249 files, 26 non-files, 5.6M 
media-fonts/jetbrains-mono: 35 files, 4 non-files, 5.5M 
media-gfx/graphviz: 297 files, 23 non-files, 5.5M 
dev-python/setuptools: 527 files, 24 non-files, 5.4M 
media-libs/tiff: 465 files, 26 non-files, 5.4M 
sys-apps/pkgcore: 959 files, 126 non-files, 5.4M 
sys-kernel/linux-headers: 949 files, 43 non-files, 5.4M 
dev-cpp/abseil-cpp: 587 files, 49 non-files, 5.2M 
app-arch/p7zip: 16 files, 9 non-files, 5.1M 
dev-python/tornado: 310 files, 21 non-files, 5.1M 
app-admin/setools: 651 files, 25 non-files, 5.0M 
dev-python/lxml: 167 files, 20 non-files, 5.0M 
sci-libs/volk: 189 files (183 unique), 21 non-files, 5.0M 
sys-block/gparted: 54 files, 84 non-files, 5.0M 
sys-fs/btrfs-progs: 31 files, 12 non-files, 5.0M 
dev-lang/swig: 770 files, 29 non-files, 4.9M 
dev-qt/qtquickcontrols: 409 files, 21 non-files, 4.9M 
media-libs/harfbuzz: 64 files, 13 non-files, 4.9M 
app-portage/gentoolkit: 365 files, 39 non-files, 4.8M 
dev-python/future: 808 files, 73 non-files, 4.8M 
dev-util/cbindgen: 1 files, 2 non-files, 4.8M 
dev-db/sqlitebrowser: 5 files, 11 non-files, 4.7M 
media-gfx/exiv2: 66 files, 13 non-files, 4.7M 
x11-themes/gnome-themes-standard: 3812 files, 98 non-files, 4.7M 
app-crypt/yubikey-manager-qt: 7 files, 12 non-files, 4.5M 
dev-python/rdflib: 485 files, 35 non-files, 4.5M 
gui-libs/gtksourceview: 270 files, 25 non-files, 4.5M 
media-fonts/stix-fonts: 15 files, 6 non-files, 4.5M 
sys-apps/nvme-cli: 362 files, 20 non-files, 4.5M 
dev-lang/yasm: 40 files, 11 non-files, 4.4M 
dev-python/cryptography: 341 files, 35 non-files, 4.4M 
dev-python/prompt_toolkit: 592 files, 52 non-files, 4.4M 
sys-apps/ripgrep: 9 files, 13 non-files, 4.4M 
xfce-base/thunar: 207 files, 55 non-files, 4.4M 
xfce-extra/xfdashboard: 170 files, 47 non-files, 4.4M 
app-emulation/aqemu: 78 files, 13 non-files, 4.3M 
media-fonts/urw-fonts: 111 files, 6 non-files, 4.3M 
sys-apps/hwloc: 563 files, 26 non-files, 4.2M 
dev-libs/libpcre2: 227 files, 13 non-files, 4.1M 
dev-util/sh: 2 files, 5 non-files, 4.1M 
x11-libs/gtksourceview: 235 files, 18 non-files, 4.1M 
app-crypt/mit-krb5: 162 files, 33 non-files, 4.0M 
dev-python/sip: 331 files, 32 non-files, 4.0M 
sys-process/parallel: 91 files, 13 non-files, 4.0M 
media-gfx/eog: 1390 files, 147 non-files, 3.9M 
media-libs/libglvnd: 53 files, 14 non-files, 3.9M 
media-libs/libsdl2: 128 files, 14 non-files, 3.9M 
sys-apps/selinux-python: 326 files (250 unique), 32 non-files, 3.9M 
x11-terms/alacritty: 21 files, 18 non-files, 3.9M 
dev-db/sqlite: 8 files, 8 non-files, 3.8M 
dev-python/rich: 333 files, 10 non-files, 3.8M 
dev-python/trio: 517 files, 26 non-files, 3.8M 
gnome-base/gnome-keyring: 27 files, 26 non-files, 3.8M 
app-editors/gvim: 16 files, 19 non-files, 3.7M 
media-libs/cogl: 126 files, 15 non-files, 3.7M 
sys-libs/binutils-libs: 40 files, 7 non-files, 3.7M 
app-misc/rox-filer: 155 files, 61 non-files, 3.6M 
dev-libs/elfutils: 52 files, 12 non-files, 3.6M 
sys-block/fio: 85 files, 8 non-files, 3.6M 
dev-python/pillow: 406 files, 12 non-files, 3.5M 
dev-python/pytest: 297 files, 28 non-files, 3.5M 
dev-util/geany-plugins: 252 files, 43 non-files, 3.5M 
sys-process/glances: 507 files, 32 non-files, 3.5M 
app-crypt/p11-kit: 67 files, 22 non-files, 3.4M 
app-editors/vim: 12 files, 6 non-files, 3.4M 
sys-apps/iproute2: 175 files, 17 non-files, 3.4M 
app-cdr/cdrtools: 296 files, 21 non-files, 3.3M 
dev-util/kbuild: 176 files, 11 non-files, 3.3M 
media-fonts/ubuntu-font-family: 17 files, 6 non-files, 3.3M 
x11-libs/libxcb: 137 files, 10 non-files, 3.3M 
app-crypt/seahorse: 777 files, 84 non-files, 3.2M 
dev-lang/nasm: 26 files, 7 non-files, 3.2M 
dev-python/chardet: 201 files, 17 non-files, 3.2M 
dev-python/zope-interface: 208 files, 17 non-files, 3.2M 
media-libs/libvpx: 20 files, 9 non-files, 3.2M 
media-plugins/audacious-plugins: 171 files, 20 non-files, 3.2M 
x11-misc/xkeyboard-config: 295 files, 31 non-files, 3.2M 
dev-libs/libgit2: 117 files, 10 non-files, 3.1M 
dev-python/ipyparallel: 377 files, 49 non-files, 3.1M 
dev-util/ctags: 18 files, 7 non-files, 3.1M 
gnome-extra/gnome-calculator: 992 files, 130 non-files, 3.1M 
media-sound/deadbeef: 46 files, 40 non-files, 3.1M 
net-misc/spice-gtk: 121 files, 20 non-files, 3.1M 
sys-apps/osinfo-db: 939 files, 114 non-files, 3.1M 
sys-auth/elogind: 57 files, 36 non-files, 3.1M 
app-admin/hardinfo: 96 files, 19 non-files, 3.0M 
app-arch/dpkg: 298 files, 55 non-files, 3.0M 
app-crypt/gcr: 127 files, 41 non-files, 3.0M 
net-libs/mbedtls: 107 files, 8 non-files, 3.0M 
sci-visualization/gnuplot: 51 files, 17 non-files, 3.0M 
sys-apps/man-pages: 2532 files, 17 non-files, 3.0M 
app-accessibility/at-spi2-core: 96 files (93 unique), 32 non-files, 2.9M 
app-emulation/virt-manager: 220 files, 53 non-files, 2.9M 
app-text/iso-codes: 32 files, 9 non-files, 2.9M 
media-libs/fontconfig: 786 files, 25 non-files, 2.9M 
dev-libs/qcustomplot: 10 files, 6 non-files, 2.8M 
dev-python/jupyter_server: 348 files, 60 non-files, 2.8M 
dev-python/pyzmq: 496 files, 40 non-files, 2.8M 
media-gfx/mypaint-brushes: 399 files, 15 non-files, 2.8M 
media-libs/libepoxy: 12 files, 8 non-files, 2.8M 
x11-libs/fltk: 318 files, 30 non-files, 2.8M 
app-crypt/gpgme: 162 files, 18 non-files, 2.7M 
dev-python/psutil: 120 files, 12 non-files, 2.7M 
dev-util/seer: 7 files, 16 non-files, 2.7M 
app-crypt/tpm2-tss: 79 files, 28 non-files, 2.6M 
dev-libs/gmp: 35 files, 11 non-files, 2.6M 
dev-util/bingrep: 2 files, 5 non-files, 2.6M 
dev-util/meld: 387 files (311 unique), 47 non-files, 2.6M 
dev-util/spirv-headers: 74 files, 13 non-files, 2.6M 
gnome-base/gnome-desktop: 107 files, 111 non-files, 2.6M 
sys-power/iasl: 13 files, 5 non-files, 2.6M 
x11-wm/fluxbox: 161 files, 33 non-files, 2.6M 
xfce-base/xfce4-power-manager: 82 files, 33 non-files, 2.6M 
app-containers/docker-proxy: 3 files, 5 non-files, 2.5M 
app-misc/mc: 223 files, 21 non-files, 2.5M 
dev-go/go-md2man: 2 files, 5 non-files, 2.5M 
dev-python/xcffib: 146 files, 10 non-files, 2.5M 
dev-qt/qtcharts: 283 files, 14 non-files, 2.5M 
dev-qt/qtmultimedia: 281 files, 23 non-files, 2.5M 
dev-qt/qtnetwork: 211 files, 18 non-files, 2.5M 
dev-util/gtk-doc: 85 files, 46 non-files, 2.5M 
dev-util/strace: 10 files, 7 non-files, 2.5M 
net-analyzer/ettercap: 92 files, 18 non-files, 2.5M 
net-libs/gnutls: 31 files, 8 non-files, 2.5M 
sys-apps/kbd: 712 files, 37 non-files, 2.5M 
sys-libs/libsepol: 60 files, 15 non-files, 2.5M 
sys-libs/slang: 159 files, 22 non-files, 2.5M 
app-arch/zstd: 21 files, 11 non-files, 2.4M 
app-portage/golop: 2 files, 5 non-files, 2.4M 
app-shells/bash: 27 files, 14 non-files, 2.4M 
dev-util/re2c: 109 files, 36 non-files, 2.4M 
media-libs/libjpeg-turbo: 140 files, 15 non-files, 2.4M 
media-sound/audacious: 75 files, 24 non-files, 2.4M 
net-firewall/iptables: 215 files, 26 non-files, 2.4M 
net-irc/irssi: 291 files, 41 non-files, 2.4M 
net-libs/libsoup: 71 files, 13 non-files, 2.4M 
sys-apps/firejail: 1306 files, 28 non-files, 2.4M 
sys-apps/shadow: 101 files, 19 non-files, 2.4M 
www-client/w3m: 89 files, 25 non-files, 2.4M 
x11-misc/shared-mime-info: 9 files, 12 non-files, 2.4M 
xfce-base/xfce4-panel: 104 files, 43 non-files, 2.4M 
app-mobilephone/qtadb: 4 files, 7 non-files, 2.3M 
app-text/gnome-doc-utils: 201 files (192 unique), 49 non-files, 2.3M 
dev-python/python-nbxmpp: 375 files, 22 non-files, 2.3M 
media-fonts/terminus-font: 311 files, 10 non-files, 2.3M 
sys-devel/autoconf-archive: 593 files, 6 non-files, 2.3M 
sys-devel/libtool: 62 files, 13 non-files, 2.3M 
app-emulation/libvirt-glib: 136 files, 17 non-files, 2.2M 
app-misc/tracker: 90 files, 31 non-files, 2.2M 
app-text/docbook-dsssl-stylesheets: 175 files, 21 non-files, 2.2M 
media-sound/alsa-utils: 65 files, 25 non-files, 2.2M 
sys-devel/autoconf: 70 files, 15 non-files, 2.2M 
app-crypt/gcr: 51 files, 17 non-files, 2.1M 
dev-python/css-parser: 217 files, 18 non-files, 2.1M 
dev-tcltk/iwidgets: 245 files, 12 non-files, 2.1M 
dev-util/pkgcheck: 255 files, 28 non-files, 2.1M 
kde-frameworks/syntax-highlighting: 37 files, 20 non-files, 2.1M 
media-fonts/open-sans: 13 files, 4 non-files, 2.1M 
media-libs/openh264: 18 files, 21 non-files, 2.1M 
xfce-base/xfce4-settings: 170 files, 33 non-files, 2.1M 
app-admin/rsyslog: 64 files, 25 non-files, 2.0M 
dev-cpp/range-v3: 322 files, 26 non-files, 2.0M 
dev-python/ensurepip-pip: 1 files, 4 non-files, 2.0M 
dev-python/pyasn1-modules: 448 files, 12 non-files, 2.0M 
dev-python/regex: 23 files, 10 non-files, 2.0M 
gnome-extra/gnome-system-monitor: 579 files, 81 non-files, 2.0M 
media-libs/babl: 71 files, 15 non-files, 2.0M 
net-wireless/gqrx: 1 files, 2 non-files, 2.0M 
sys-apps/openrc: 308 files (305 unique), 42 non-files, 2.0M 
sys-fs/e2fsprogs: 114 files, 31 non-files, 2.0M 
x11-libs/cairo: 53 files, 10 non-files, 2.0M 
